支付宝交易记录明细查询
账号:[18627032049]
起始日期:[2016-01-01 00:00:00]    终止日期:[2016-06-07 17:11:14]
---------------------------------交易记录明细列表------------------------------------
交易号                  ,商户订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     ,
2016060721001004070223572639	,a19c2a8fdeab4a7090b38756945a7261	,2016-06-07 10:42:27 ,2016-06-07 10:42:28 ,2016-06-07 10:42:28 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,上海拉扎斯信息科技有限公司   ,饿了么订单:100757765555314654,20.90   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2016060621001004070215713203	,0c328423937449d2a026b02b77638506	,2016-06-06 10:27:49 ,2016-06-06 10:27:50 ,2016-06-06 10:27:50 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,上海拉扎斯信息科技有限公司   ,饿了么订单:100751254123798494,25.91   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2016060521001004070221670936	,24053458160605194556	,2016-06-05 19:45:10 ,2016-06-05 19:45:10 ,2016-06-05 19:45:10 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,上海联家超市有限公司      ,上海宜山路店              ,39.30   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2016060521001004070214832688	,816060502132213     	,2016-06-05 19:18:24 ,2016-06-05 19:18:25 ,2016-06-05 19:18:25 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,上海速堡餐饮有限公司      ,外婆家百联徐汇店（上海）支付006786,104.00  ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20160605200040011100070074845994	,                    	,2016-06-05 14:59:46 ,2016-06-05 14:59:55 ,2016-06-05 15:01:13 ,支付宝网站     ,即时到账交易          ,程兵              ,转账到银行卡-转账           ,800.00  ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2016060521001001070207905721	,T100P1599864409165572	,2016-06-05 14:02:28 ,2016-06-05 14:02:41 ,2016-06-05 14:03:09 ,淘宝        ,支付宝担保交易         ,君宝话费充值专营店       ,186-2703-2049 湖北联通50元充值 快充 即时到帐 自动充值 秒冲快冲,49.98   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20160604200040011100750077985528	,20160604968420630149527623041727	,2016-06-04 20:30:58 ,2016-06-04 20:31:12 ,2016-06-04 20:31:12 ,支付宝网站     ,即时到账交易          ,[b64]5Yab[/b64] ,转账                  ,500.00  ,收入      ,交易成功    ,0.00     ,0.00     ,转账                  ,已收入      ,
2016060321001004070295278588	,04281eaf8ee64bbe8e1a99b08b3f26d0	,2016-06-03 10:34:52 ,2016-06-03 10:34:52 ,2016-06-03 10:34:52 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,上海拉扎斯信息科技有限公司   ,饿了么订单:100737471959621598,20.91   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2016060121001004070295924391	,20149786            	,2016-06-01 19:31:45 ,2016-06-01 19:31:45 ,2016-06-01 19:31:45 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,鼎香帅（上海）餐饮企业管理有限公司,光启店                 ,16.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2016053021001004070287571290	,1101101127427501    	,2016-05-30 19:33:03 ,2016-05-30 19:33:03 ,2016-05-30 19:33:03 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,上海喜士多便利连锁有限公司   ,C-Store 中山西门市 消费    ,13.50   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
